Poem Name,Poem Content
Tarot Readings Daily,"They’re reading Tarot cards right now,
in the little pink house with the sign in the yard.
Shadows spider across still-green lawn
whose fate, so far, defies the frosts.
Someone asks the right question,
draws the right card.
Many cups in the immediate future;
radiance pouring down.
They know the future,
the creatures in the yard:
night, thirst, frost.
Only the sapiens in the house believe
fire, water, air, and earth
would bother to reveal
when to fear and love.
The one who’s paying
draws another card.
Outside, in the yard,
a squirrel noses seed that fell
like radiance, from above.
 "
What Does Your Seeing Want?,"Your scrunched eye seizes, sizes
me up: pulley-roped palliatives, craft and lies.
Washing my hands in the back, I wonder:
what's a good death?
Of course you held on and I held on to you.
We had married ourselves to a trance."
The Runaround,"    1
We encountered a problem
sending
a command
to the program.
Did I say that
aloud?
I’ve broken out
in imps.

     *
To be a blip
in a circuit
and to know it,
to relish
this knowledge
in your private
moments
as all moments
are gated
and switched.

    2
When I mentioned hatred
I was not thinking
                                           of you,
but you’d best not break
our momentum,
the thrill we get
from our own self-
loathing,
that guilty snigger
running round the room
 "
Russian Ending,"As in some demented romantic comedy,
my wife and I divided the apartment in half.
She took the living room and I took the bedroom.
Bivouacked and bleeding, we waited for the lawyer
to finish the stipulation so we could sign
the pages and crawl away forever.
I lived in her midst like an alien species.
The exclusion zone sizzled like wet lightning
when I whispered to outsiders on the house phone.
Then came the morning of my departure:
I awoke in civil twilight with my wife standing
over me, looking down into my pallid face.
For half a second, I thought she might strike me,
but she grasped my hand and squeezed it goodbye,
an astonishing tenderness glistening in her eyes,
one final gift in all that pain and murderous détente,
all that wailing and mortification of the flesh.
On the way to the gallows of divorce,
she held a merciful cup of clemency to my lips,
and I drank deeply, I drank so deeply
that I forgot what I’d done to deserve her."
Doctrine,"the time for nuance is over
i argue over breakfast
explaining how it’s oft used
to confuse dissent—knife
through my poached egg.
politicized work made all yolky,
easy to consume & forget.
i dab with the toasted bread
agitation & propaganda i rant
is the only just path for artists
gesturing with my utensils
heavenward. i’ve said a lot
of things which in retrospect
would’ve been better
had i kept my mouth shut.
i once said something to a friend
i won’t repeat here
& now she’s no longer my friend.
i'll never forget what her eyes did
as i finished speaking
stones in a bucket.
words have consequences
they’re both material & reveal
the spirit that speaks them.
what i meant over breakfast
is the time’s too urgent for work
that doesn’t have blood in it.
what i meant is insurgency
is our birthright, that nuance
comes from the french meaning
to shade—why another painting
of a lake when there’s so much
rage boiling outside the canvas?
what does it mean i don’t mean
what i say when i say it? i don’t know
what i mean. silence is golden
& gold’s the standard measurement
for capital. the golden rule is do
unto others as you would have them
do unto you. but what when they do
you ugly first as they always
seem to? i finish my coffee &
it’s political whether i want it
to be or not."
Under a Patched Sail,"“Oh, we’ll drink once more
when the wind’s off shore,”
We’ll drink from the good old jar,
And then to port,
For the time grows short.
Come lad—to the days that are!"
The courage that my mother had,"The courage that my mother had
Went with her, and is with her still:
Rock from New England quarried;
Now granite in a granite hill.
The golden brooch my mother wore
She left behind for me to wear;
I have no thing I treasure more:
Yet, it is something I could spare.
Oh, if instead she’d left to me
The thing she took into the grave!—
That courage like a rock, which she
Has no more need of, and I have."
To My Mother,"O thou whose care sustained my infant years,
     And taught my prattling lip each note of love;
Whose soothing voice breathed comfort to my fears,
     And round my brow hope’s brightest garland wove;
To thee my lay is due, the simple song,
     Which Nature gave me at life’s opening day;
To thee these rude, these untaught strains belong,
     Whose heart indulgent will not spurn my lay.
O say, amid this wilderness of life,
     What bosom would have throbbed like thine for me?
Who would have smiled responsive?—who in grief,
     Would e’er have felt, and, feeling, grieved like thee?
Who would have guarded, with a falcon-eye,
     Each trembling footstep or each sport of fear?
Who would have marked my bosom bounding high,
     And clasped me to her heart, with love’s bright tear?
Who would have hung around my sleepless couch,
     And fanned, with anxious hand, my burning brow?
Who would have fondly pressed my fevered lip,
     In all the agony of love and wo?
None but a mother—none but one like thee,
     Whose bloom has faded in the midnight watch;
Whose eye, for me, has lost its witchery,
     Whose form has felt disease’s mildew touch.
Yes, thou hast lighted me to health and life,
     By the bright lustre of thy youthful bloom—
Yes, thou hast wept so oft o’er every grief,
     That wo hath traced thy brow with marks of gloom.
O then, to thee, this rude and simple song,
     Which breathes of thankfulness and love for thee,
To thee, my mother, shall this lay belong,
     Whose life is spent in toil and care for me.
 "
City Visions,"                                           I.
As the blind Milton’s memory of light,
The deaf Beethoven’s phantasy of tone,
Wrought joys for them surpassing all things known
In our restricted sphere of sound and sight,—
So while the glaring streets of brick and stone
Vex with heat, noise, and dust from morn till night,
I will give rein to Fancy, taking flight
From dismal now and here, and dwell alone
With new-enfranchised senses. All day long,
Think ye ’t is I, who sit ’twixt darkened walls,
While ye chase beauty over land and sea?
Uplift on wings of some rare poet’s song,
Where the wide billow laughs and leaps and falls,
I soar cloud-high, free as the winds are free.
                                           II.
Who grasps the substance? who ’mid shadows strays?
He who within some dark-bright wood reclines,
’Twixt sleep and waking, where the needled pines
Have cushioned all his couch with soft brown sprays?
He notes not how the living water shines,
Trembling along the cliff, a flickering haze,
Brimming a wine-bright pool, nor lifts his gaze
To read the ancient wonders and the signs.
Does he possess the actual, or do I,
Who paint on air more than his sense receives,
The glittering pine-tufts with closed eyes behold,
Breathe the strong resinous perfume, see the sky
Quiver like azure flame between the leaves,
And open unseen gates with key of gold?
 "
The Phantoms for Which Clothes Are Designed,"Sewing patterns are designed for imaginary
people, based on average measurements
taken in the 1930s by the WPA
and adjusted over the decades by the Industry.
I sew a Misses 14, designed for a woman
5’5” to 5’6”, 36/28/38,
which is to say no one,
so I alter the pattern to fit a phantom of me
instead of a phantom of her.
She doesn’t need any more dresses.
 "
