Poem Name,Poem Link
Tarot Readings Daily,https://poets.org/poem/tarot-readings-daily
What Does Your Seeing Want?,https://poets.org/poem/what-does-your-seeing-want
The Runaround,https://poets.org/poem/runaround
Russian Ending,https://poets.org/poem/russian-ending
Doctrine,https://poets.org/poem/doctrine
Under a Patched Sail,https://poets.org/poem/under-patched-sail
The courage that my mother had,https://poets.org/poem/courage-my-mother-had
To My Mother,https://poets.org/poem/my-mother-3
City Visions,https://poets.org/poem/city-visions
The Phantoms for Which Clothes Are Designed,https://poets.org/poem/phantoms-which-clothes-are-designed
Regardless of Disaster,https://poets.org/poem/regardless-disaster
Evening Storm,https://poets.org/poem/evening-storm
Solve for X,https://poets.org/poem/solve-x
My Mama moved among the days,https://poets.org/poem/my-mama-moved-among-days
Grotesque,https://poets.org/poem/grotesque
Meditation,https://poets.org/poem/meditation
The Good Light,https://poets.org/poem/good-light
The Big Book of Therapy,https://poets.org/poem/big-book-therapy
John Henry,https://poets.org/poem/john-henry
from Ultrasound (i),https://poets.org/poem/ultrasound-i
Nurse,https://poets.org/poem/nurse-0
Return,https://poets.org/poem/return-2
The Owner of the Night,https://poets.org/poem/owner-night
I Ask My Mother to Sing,https://poets.org/poem/i-ask-my-mother-sing
Dreams,https://poets.org/poem/dreams-1
Tender Buttons [Eggs],https://poets.org/poem/tender-buttons-eggs
Beauty,https://poets.org/poem/beauty
Water Street,https://poets.org/poem/water-street
This Place,https://poets.org/poem/place
After Anna Akhmatova,https://poets.org/poem/after-anna-akhmatova
Under Stars,https://poets.org/poem/under-stars
The African Picnic,https://poets.org/poem/african-picnic
from Song of Myself XXIV,https://poets.org/poem/song-myself-xxiv
"Song of Myself, 48",https://poets.org/poem/song-myself-48
21 November 2004,https://poets.org/poem/21-november-2004
In the Next Yard,https://poets.org/poem/next-yard
Things Said To Be Ineffable,https://poets.org/poem/things-said-be-ineffable
Close Encounters,https://poets.org/poem/close-encounters
Promised Years,https://poets.org/poem/promised-years
American Sonnet for My Past and Future Assassin [Any day now you will have the ability to feed the name],https://poets.org/poem/american-sonnet-my-past-and-future-assassin-any-day-now-you-will-have-ability-feed-name
My Friends,https://poets.org/poem/my-friends-0
The Waking,https://poets.org/poem/waking
Holding On,https://poets.org/poem/holding
Sitting at Night on the Front Porch,https://poets.org/poem/sitting-night-front-porch
Mother Earth: Her Whales,https://poets.org/poem/mother-earth-her-whales
Ego Tripping (there may be a reason why),https://poets.org/poem/ego-tripping-there-may-be-reason-why
picking flowers,https://poets.org/poem/picking-flowers
"Beverly Hills, Chicago",https://poets.org/poem/beverly-hills-chicago
Square Cells,https://poets.org/poem/square-cells
Letters to Du Fu,https://poets.org/poem/letters-du-fu
Mail-Order Planets,https://poets.org/poem/mail-order-planets
Stardate 8809.22,https://poets.org/poem/stardate-880922
No One,https://poets.org/poem/no-one
Galaxy Love,https://poets.org/poem/galaxy-love
Blue Particles,https://poets.org/poem/blue-particles
Visit from Mars,https://poets.org/poem/visit-mars
If the Heart Does Not Restart,https://poets.org/poem/if-heart-does-not-restart
The Fool’s Song,https://poets.org/poem/fools-song
Still Life with Rayfish,https://poets.org/poem/still-life-rayfish
Beautiful Thinking,https://poets.org/poem/beautiful-thinking
Pomegranate,https://poets.org/poem/pomegranate-0
Aubade,https://poets.org/poem/aubade-0
Soave Sia Il Vento,https://poets.org/poem/soave-sia-il-vento
The God of Nothingness,https://poets.org/poem/god-nothingness
Nature,https://poets.org/poem/nature-0
"Ȟe Sápa, Five",https://poets.org/poem/he-sapa-five
"Ȟe Sápa, Four",https://poets.org/poem/he-sapa-four
"Ȟe Sápa, Two",https://poets.org/poem/he-sapa-two
"Ȟe Sápa, One",https://poets.org/poem/he-sapa-one
from WHEREAS [“WHEREAS when offered...”],https://poets.org/poem/whereas-whereas-when-offered
Talent,https://poets.org/poem/talent
Daysleep,https://poets.org/poem/daysleep
Ubi Sunt?,https://poets.org/poem/ubi-sunt
The Cause of All My Suffering,https://poets.org/poem/cause-all-my-suffering
The Owls,https://poets.org/poem/owls
When I Grow Up I Want to Be a List of Further Possibilities,https://poets.org/poem/when-i-grow-i-want-be-list-further-possibilities
Night Falls Like a Button,https://poets.org/poem/night-falls-button
Kafka’s Axe & Michael’s Vest,https://poets.org/poem/kafkas-axe-michaels-vest
In the City,https://poets.org/poem/city-2
from Please Bury Me in This [I am writing to you...],https://poets.org/poem/please-bury-me-i-am-writing-you
from Please Bury Me in This [In the museum of sadness...],https://poets.org/poem/please-bury-me-museum-sadness
from Please Bury Me in This [I am not any closer...],https://poets.org/poem/please-bury-me-i-am-not-any-closer
from Please Bury Me in This [Looking up in the dark I thought...”],https://poets.org/poem/please-bury-me-looking-dark-i-thought
as the owl augurs,https://poets.org/poem/owl-augurs
against breeding,https://poets.org/poem/against-breeding
melancholy lake,https://poets.org/poem/melancholy-lake
of mongrelitude,https://poets.org/poem/mongrelitude
Aria,https://poets.org/poem/aria
“In Vision I Roamed”,https://poets.org/poem/vision-i-roamed
Letter to Someone Living Fifty Years from Now,https://poets.org/poem/letter-someone-living-fifty-years-now
from “Post-Identity”,https://poets.org/poem/post-identity
the valley of its making,https://poets.org/poem/valley-its-making
This Hour,https://poets.org/poem/hour
Saudade,https://poets.org/poem/saudade
Sonnet VI,https://poets.org/poem/sonnet-vi
Little Apophat,https://poets.org/poem/little-apophat
Summoning the Body That Is Mine When I Shut My Eyes,https://poets.org/poem/summoning-body-mine-when-i-shut-my-eyes
Gay Marriage Poem,https://poets.org/poem/gay-marriage-poem
Painting vs. Poetry,https://poets.org/poem/painting-vs-poetry
Dear Advice Columnist,https://poets.org/poem/dear-advice-columnist
The Day After My Father’s Death,https://poets.org/poem/day-after-my-fathers-death
Christmas at the Orphanage,https://poets.org/poem/christmas-orphanage
Duet,https://poets.org/poem/duet
How I Might Sound if I Left Myself Alone,https://poets.org/poem/how-i-might-sound-if-i-left-myself-alone
Temple Tomb,https://poets.org/poem/temple-tomb
The Wishbone: A Romance,https://poets.org/poem/wishbone-romance
The Knot,https://poets.org/poem/knot
The Sky,https://poets.org/poem/sky-0
"A Face, a Cup",https://poets.org/poem/face-cup
Lush Life,https://poets.org/poem/lush-life
Waiting for the Light,https://poets.org/poem/waiting-light
"Love Elegy in the Chinese Garden, with Koi",https://poets.org/poem/love-elegy-chinese-garden-koi
Temptation of the Composer,https://poets.org/poem/temptation-composer
Here is what the mind does,https://poets.org/poem/here-what-mind-does
Sheltered Garden,https://poets.org/poem/sheltered-garden
Generation,https://poets.org/poem/generation
As to Why We Will Not Stop (Making the Hats),https://poets.org/poem/why-we-will-not-stop-making-hats
Dirt Being Dirt,https://poets.org/poem/dirt-being-dirt
In the Waiting Room,https://poets.org/poem/waiting-room-0
Self-Portrait as the Bootblack in Daguerre’s Boulevard du Temple,https://poets.org/poem/self-portrait-bootblack-daguerres-boulevard-du-temple
A Place in the Country,https://poets.org/poem/place-country
The Perfect Poem,https://poets.org/poem/perfect-poem
If I Had Known,https://poets.org/poem/if-i-had-known
"Daedalus, After Icarus",https://poets.org/poem/daedalus-after-icarus
The Blue Dress,https://poets.org/poem/blue-dress
Boy in a Stolen Evening Gown,https://poets.org/poem/boy-stolen-evening-gown
How It Is,https://poets.org/poem/how-it
Centering the House,https://poets.org/poem/centering-house
The Breathing Field,https://poets.org/poem/breathing-field
Walking Water,https://poets.org/poem/walking-water
The First Person Who Will Live to Be One Hundred and Fifty Years Old Has Already Been Born,https://poets.org/poem/first-person-who-will-live-be-one-hundred-and-fifty-years-old-has-already-been-born
Legendary,https://poets.org/poem/legendary
Clue,https://poets.org/poem/clue
Even the Gods,https://poets.org/poem/even-gods
Off the Blossom Trail,https://poets.org/poem/blossom-trail
The Glory of the Day Was in Her Face,https://poets.org/poem/glory-day-was-her-face
They Ate the Bulbs of Tulips,https://poets.org/poem/they-ate-bulbs-tulips
Syllabus for the Dark Ahead,https://poets.org/poem/syllabus-dark-ahead
"Abandoned Block Factory, Arkansas",https://poets.org/poem/abandoned-block-factory-arkansas
Maps,https://poets.org/poem/maps
Darwinist Logic on Unrequited Love,https://poets.org/poem/darwinist-logic-unrequited-love
Dead Leaves,https://poets.org/poem/dead-leaves
Going Back,https://poets.org/poem/going-back
Self-Portrait as Exit Wounds,https://poets.org/poem/self-portrait-exit-wounds
Phenomenal Woman (audio only),https://poets.org/poem/phenomenal-woman-audio-only
Deception Story,https://poets.org/poem/deception-story
First Light,https://poets.org/poem/first-light
